locus_tag	ftype	length_bp	gene	EC_number	COG	product
1617.00_03792	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
	sig_peptide	72				putative signal peptide
1617.00_03793	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
1617.00_03794	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
1617.00_03795	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
1617.00_03796	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
1617.00_03797	tRNA	77				tRNA-Met(cat)
1617.00_03798	tRNA	77				tRNA-Met(cat)
1617.00_03799	tRNA	77				tRNA-Met(cat)
1617.00_03800	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
	sig_peptide	60				putative signal peptide
1617.00_03801	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
1617.00_03802	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
1617.00_03803	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
1617.00_03804	CDS	228	ygdR_2			putative lipoprotein YgdR
	sig_peptide	66				putative signal peptide
1617.00_03805	CDS	918	gcvA_2			Glycine cleavage system transcriptional activator
1617.00_03806	CDS	396				hypothetical protein
1617.00_03807	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
1617.00_03808	CDS	732	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
1617.00_03809	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
1617.00_03810	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
1617.00_03811	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
1617.00_03812	CDS	1317	fucP		COG0738	L-fucose-proton symporter
1617.00_03813	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
1617.00_03814	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
1617.00_03815	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
1617.00_03816	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
1617.00_03817	CDS	1290	sdaC		COG0814	Serine transporter
1617.00_03818	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
1617.00_03819	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
1617.00_03820	CDS	546	syd			Protein Syd
1617.00_03821	CDS	330	yqcC		COG3098	putative protein YqcC
1617.00_03822	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
1617.00_03823	CDS	450			COG0716	putative protein
1617.00_03824	CDS	1353	gudP			putative glucarate transporter
1617.00_03825	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
1617.00_03826	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
1617.00_03827	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
1617.00_03828	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
1617.00_03829	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
1617.00_03830	CDS	249	mazE		COG2336	Antitoxin MazE
1617.00_03831	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
1617.00_03832	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
1617.00_03833	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
1617.00_03834	CDS	1299	eno	4.2.1.11	COG0148	Enolase
1617.00_03835	CDS	873				hypothetical protein
	sig_peptide	54				putative signal peptide
1617.00_03836	CDS	108	yqcG			putative protein YqcG
1617.00_03837	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
	repeat_region	1006				
1617.00_03838	CDS	1479	lsrK_2	2.7.1.189	COG1070	Autoinducer-2 kinase
1617.00_03839	CDS	1278	yqcE			Inner membrane protein YqcE
1617.00_03840	CDS	786	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
1617.00_03841	CDS	1455				hypothetical protein
1617.00_03842	CDS	1410	ygcS_2			Inner membrane metabolite transport protein YgcS
1617.00_03843	CDS	780				hypothetical protein
1617.00_03844	CDS	861	fixB_3			Protein FixB
1617.00_03845	CDS	213				hypothetical protein
1617.00_03846	CDS	213	cspA		COG1278	Cold shock protein CspA
1617.00_03847	CDS	291				hypothetical protein
1617.00_03848	CDS	711				hypothetical protein
1617.00_03849	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
1617.00_03850	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
	sig_peptide	54				putative signal peptide
1617.00_03851	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
1617.00_03852	CDS	441	yjaB_2	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
1617.00_03853	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
1617.00_03854	CDS	699				hypothetical protein
1617.00_03855	CDS	1209	yhjX			putative MFS-type transporter YhjX
1617.00_03856	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
1617.00_03857	tRNA	77				tRNA-Pro(cgg)
1617.00_03858	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
	sig_peptide	87				putative signal peptide
1617.00_03859	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
1617.00_03860	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
1617.00_03861	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
1617.00_03862	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
1617.00_03863	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
1617.00_03864	CDS	108	ldrD_1			Small toxic polypeptide LdrD
1617.00_03865	CDS	108	ldrD_2			Small toxic polypeptide LdrD
1617.00_03866	CDS	1680				hypothetical protein
1617.00_03867	CDS	192				hypothetical protein
1617.00_03868	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
1617.00_03869	CDS	189	yhjR			Protein YhjR
1617.00_03870	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
1617.00_03871	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
1617.00_03872	CDS	2310	bcsB			Cyclic di-GMP-binding protein
1617.00_03873	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
	sig_peptide	66				putative signal peptide
1617.00_03874	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
	sig_peptide	72				putative signal peptide
1617.00_03875	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
1617.00_03876	CDS	1287	dctA_2		COG1301	Aerobic C4-dicarboxylate transport protein
1617.00_03877	CDS	1497	yhjJ		COG0612	Protein YhjJ
	sig_peptide	75				putative signal peptide
1617.00_03878	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
1617.00_03879	CDS	768	pdeH_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
1617.00_03880	CDS	2061				hypothetical protein
1617.00_03881	CDS	1323	yhjE_2			Inner membrane metabolite transport protein YhjE
1617.00_03882	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
1617.00_03883	CDS	972	dmlR_4			HTH-type transcriptional regulator DmlR
1617.00_03884	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
1617.00_03885	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
1617.00_03886	CDS	1398				hypothetical protein
1617.00_03887	CDS	1401	gadA	4.1.1.15	COG0076	Glutamate decarboxylase alpha
1617.00_03888	CDS	825	gadX_2			HTH-type transcriptional regulator GadX
1617.00_03889	CDS	729	gadW_2			HTH-type transcriptional regulator GadW
1617.00_03890	CDS	282				hypothetical protein
1617.00_03891	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
1617.00_03892	CDS	1158	mdtE			Multidrug resistance protein MdtE
	sig_peptide	78				putative signal peptide
1617.00_03893	CDS	279				hypothetical protein
1617.00_03894	CDS	528	gadE			Transcriptional regulator GadE
1617.00_03895	CDS	573	hdeD		COG3247	Protein HdeD
1617.00_03896	CDS	333	hdeA			Acid stress chaperone HdeA
	sig_peptide	66				putative signal peptide
1617.00_03897	CDS	339	hdeB			Acid stress chaperone HdeB
	sig_peptide	102				putative signal peptide
1617.00_03898	CDS	576				hypothetical protein
1617.00_03899	CDS	771	hmuV	3.6.3.-		Hemin import ATP-binding protein HmuV
1617.00_03900	CDS	957	hmuU		COG0609	Hemin transport system permease protein HmuU
1617.00_03901	CDS	624				hypothetical protein
1617.00_03902	CDS	495				hypothetical protein
1617.00_03903	CDS	1260				Oxygen-independent coproporphyrinogen-III oxidase-like protein
1617.00_03904	CDS	915	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
	sig_peptide	150				putative signal peptide
1617.00_03905	CDS	1983	hemR		COG1629	Hemin receptor
	sig_peptide	87				putative signal peptide
1617.00_03906	CDS	1029	hemS		COG3720	Hemin transport protein HemS
1617.00_03907	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
1617.00_03908	CDS	567	slp_2		COG3065	Outer membrane protein slp
	sig_peptide	54				putative signal peptide
1617.00_03909	CDS	1224				hypothetical protein
1617.00_03910	CDS	1002				hypothetical protein
1617.00_03911	CDS	321				hypothetical protein
1617.00_03912	CDS	426	arsC	1.20.4.1		Arsenate reductase
1617.00_03913	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
1617.00_03914	CDS	354				hypothetical protein
1617.00_03915	CDS	216				hypothetical protein
1617.00_03916	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
1617.00_03917	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
1617.00_03918	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
1617.00_03919	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
1617.00_03920	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
1617.00_03921	CDS	435	uspA		COG0589	Universal stress protein A
1617.00_03922	CDS	336	uspB			Universal stress protein B
1617.00_03923	CDS	1500	pitA_2		COG0306	Low-affinity inorganic phosphate transporter 1
1617.00_03924	CDS	1203			COG2081	putative protein
1617.00_03925	CDS	1053	yhiM			Inner membrane protein YhiM
1617.00_03926	CDS	1590				hypothetical protein
1617.00_03927	CDS	1623				hypothetical protein
1617.00_03928	CDS	1068				hypothetical protein
1617.00_03929	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
1617.00_03930	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
1617.00_03931	CDS	435				ISAs1 family transposase ISEc1
1617.00_03932	CDS	480				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_03933	CDS	660				hypothetical protein
1617.00_03934	CDS	843	yibA			Protein YibA
1617.00_03935	CDS	267	ybbC			putative protein YbbC
1617.00_03936	CDS	366				hypothetical protein
1617.00_03937	CDS	570				hypothetical protein
	sig_peptide	60				putative signal peptide
1617.00_03938	CDS	468				hypothetical protein
1617.00_03939	CDS	528	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
1617.00_03940	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
1617.00_03941	CDS	270	yihD		COG3084	Protein YihD
1617.00_03942	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
1617.00_03943	CDS	627	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
	sig_peptide	60				putative signal peptide
1617.00_03944	CDS	1431	ydgA_2		COG5339	Protein YdgA
1617.00_03945	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
1617.00_03946	CDS	186				hypothetical protein
1617.00_03947	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
1617.00_03948	CDS	633	engB		COG0218	putative GTP-binding protein EngB
1617.00_03949	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
1617.00_03950	CDS	1374	hemN_2	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
1617.00_03951	CDS	111	yshB			putative protein YshB
1617.00_03952	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
1617.00_03953	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
1617.00_03954	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
1617.00_03955	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
1617.00_03956	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
1617.00_03957	CDS	981				hypothetical protein
1617.00_03958	CDS	1266	yihN			Inner membrane protein YihN
1617.00_03959	CDS	693	ompL			Porin OmpL
	sig_peptide	63				putative signal peptide
1617.00_03960	CDS	1404	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
1617.00_03961	CDS	1386	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
1617.00_03962	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
1617.00_03963	CDS	876				hypothetical protein
1617.00_03964	CDS	903	yihR		COG2017	putative protein YihR
1617.00_03965	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
1617.00_03966	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
1617.00_03967	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
1617.00_03968	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
1617.00_03969	CDS	786	glpR_2		COG1349	Glycerol-3-phosphate regulon repressor
1617.00_03970	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
1617.00_03971	CDS	873				hypothetical protein
1617.00_03972	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
1617.00_03973	CDS	942				hypothetical protein
1617.00_03974	CDS	1815				hypothetical protein
1617.00_03975	CDS	909	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
1617.00_03976	CDS	312	higB-2_2		COG2026	Toxin HigB-2
1617.00_03977	CDS	291				hypothetical protein
1617.00_03978	CDS	222				hypothetical protein
1617.00_03979	CDS	279				hypothetical protein
1617.00_03980	CDS	219				hypothetical protein
1617.00_03981	CDS	219				hypothetical protein
1617.00_03982	CDS	129				hypothetical protein
1617.00_03983	CDS	930	fdhE		COG3058	Protein FdhE
1617.00_03984	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
1617.00_03985	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
1617.00_03986	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
1617.00_03987	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
1617.00_03988	CDS	834	fdhD		COG1526	Sulfur carrier protein FdhD
1617.00_03989	CDS	642				hypothetical protein
1617.00_03990	CDS	1749				hypothetical protein
1617.00_03991	CDS	1071	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
1617.00_03992	CDS	1452	manP_2		COG1299	PTS system mannose-specific EIIBCA component
1617.00_03993	CDS	447	fruA_4		COG1299	PTS system fructose-specific EIIABC component
1617.00_03994	CDS	1395				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_03995	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
1617.00_03996	CDS	825	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
1617.00_03997	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
1617.00_03998	CDS	1470	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
1617.00_03999	CDS	837	rhaS_3			HTH-type transcriptional activator RhaS
1617.00_04000	CDS	939	rhaR_6			HTH-type transcriptional activator RhaR
1617.00_04001	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
1617.00_04002	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
1617.00_04003	CDS	984	kdgT			2-keto-3-deoxygluconate permease
1617.00_04004	CDS	675	yiiM		COG2258	Protein YiiM
1617.00_04005	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
1617.00_04006	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
1617.00_04007	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
	sig_peptide	66				putative signal peptide
1617.00_04008	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
1617.00_04009	CDS	105				hypothetical protein
1617.00_04010	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
1617.00_04011	CDS	990	sbp		COG1613	Sulfate-binding protein
	sig_peptide	60				putative signal peptide
1617.00_04012	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
1617.00_04013	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
1617.00_04014	CDS	600				hypothetical protein
	sig_peptide	72				putative signal peptide
1617.00_04015	CDS	441				hypothetical protein
1617.00_04016	CDS	300				hypothetical protein
1617.00_04017	CDS	429	uspD		COG0589	Universal stress protein D
1617.00_04018	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
1617.00_04019	CDS	1140	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
1617.00_04020	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
1617.00_04021	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
1617.00_04022	CDS	240	zapB		COG3074	Cell division protein ZapB
1617.00_04023	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
1617.00_04024	CDS	927	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
1617.00_04025	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
1617.00_04026	CDS	531	hslV	3.4.25.2		ATP-dependent protease subunit HslV
1617.00_04027	CDS	855	ftsN		COG3087	Cell division protein FtsN
1617.00_04028	CDS	1026	cytR_2		COG1609	HTH-type transcriptional repressor CytR
1617.00_04029	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
1617.00_04030	CDS	213	rpmE		COG0254	50S ribosomal protein L31
1617.00_04031	rRNA	111				5S ribosomal RNA
1617.00_04032	tRNA	77				tRNA-Asp(gtc)
1617.00_04033	tRNA	76				tRNA-Trp(cca)
1617.00_04034	CDS	840	hdfR_2			HTH-type transcriptional regulator HdfR
1617.00_04035	CDS	339				hypothetical protein
1617.00_04036	CDS	1521	comM		COG0606	Competence protein ComM
1617.00_04037	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
1617.00_04038	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
1617.00_04039	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
1617.00_04040	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
1617.00_04041	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
1617.00_04042	CDS	891	gltC_2			HTH-type transcriptional regulator GltC
1617.00_04043	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
1617.00_04044	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
1617.00_04045	CDS	450				hypothetical protein
1617.00_04046	CDS	2022	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
1617.00_04047	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
1617.00_04048	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
1617.00_04049	CDS	330	trxA		COG0526	Thioredoxin 1
1617.00_04050	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
1617.00_04051	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
1617.00_04052	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
1617.00_04053	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
1617.00_04054	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
1617.00_04055	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
1617.00_04056	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
1617.00_04057	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
1617.00_04058	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
1617.00_04059	CDS	1251	wzxE		COG2244	Lipid III flippase
1617.00_04060	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
1617.00_04061	CDS	1353	wzyE			putative ECA polymerase
1617.00_04062	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
1617.00_04063	CDS	1386	yifK		COG1113	putative transport protein YifK
1617.00_04064	tRNA	77				tRNA-Arg(ccg)
1617.00_04065	tRNA	76				tRNA-His(gtg)
1617.00_04066	tRNA	87				tRNA-Leu(cag)
1617.00_04067	tRNA	77				tRNA-Pro(tgg)
1617.00_04068	CDS	1236	chuR_2	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
1617.00_04069	CDS	1656				hypothetical protein
	sig_peptide	75				putative signal peptide
1617.00_04070	CDS	1197	hemY		COG3071	Protein HemY
1617.00_04071	CDS	1188	hemX		COG2959	Protein HemX
1617.00_04072	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
1617.00_04073	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
1617.00_04074	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
1617.00_04075	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
1617.00_04076	CDS	231				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_04077	CDS	204				hypothetical protein
	sig_peptide	72				putative signal peptide
1617.00_04078	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
1617.00_04079	CDS	708				hypothetical protein
1617.00_04080	CDS	897	xerC		COG4973	Tyrosine recombinase XerC
1617.00_04081	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
1617.00_04082	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
1617.00_04083	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
	sig_peptide	66				putative signal peptide
1617.00_04084	CDS	186				hypothetical protein
1617.00_04085	CDS	591				hypothetical protein
	sig_peptide	99				putative signal peptide
1617.00_04086	CDS	951	corA		COG0598	Magnesium transport protein CorA
1617.00_04087	CDS	492				hypothetical protein
1617.00_04088	CDS	849				hypothetical protein
1617.00_04089	CDS	891	rarD		COG2962	Protein RarD
1617.00_04090	CDS	468				hypothetical protein
1617.00_04091	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
	sig_peptide	63				putative signal peptide
1617.00_04092	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
1617.00_04093	CDS	621	rhtC_2		COG1280	Threonine efflux protein
1617.00_04094	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
1617.00_04095	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
1617.00_04096	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
1617.00_04097	CDS	900				hypothetical protein
1617.00_04098	CDS	954	metR			HTH-type transcriptional regulator MetR
1617.00_04099	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
1617.00_04100	CDS	258				hypothetical protein
1617.00_04101	CDS	1134				hypothetical protein
1617.00_04102	CDS	813				hypothetical protein
1617.00_04103	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
1617.00_04104	CDS	1428				hypothetical protein
1617.00_04105	CDS	756	ubiE_2	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
1617.00_04106	CDS	606				hypothetical protein
1617.00_04107	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
1617.00_04108	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
1617.00_04109	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
1617.00_04110	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
1617.00_04111	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
1617.00_04112	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
1617.00_04113	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
1617.00_04114	CDS	702	fre	1.16.1.3	COG0543	NAD(P)H-flavin reductase
1617.00_04115	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
1617.00_04116	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
1617.00_04117	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
1617.00_04118	CDS	615	yigZ		COG1739	IMPACT family member YigZ
1617.00_04119	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
1617.00_04120	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
1617.00_04121	CDS	390				IS200/IS605 family transposase IS609
1617.00_04122	CDS	639				hypothetical protein
1617.00_04123	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
1617.00_04124	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
1617.00_04125	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
1617.00_04126	CDS	966	ytfF			Inner membrane protein YtfF
1617.00_04127	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
1617.00_04128	CDS	381				hypothetical protein
1617.00_04129	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
	sig_peptide	60				putative signal peptide
1617.00_04130	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
1617.00_04131	CDS	912				hypothetical protein
1617.00_04132	CDS	555	ytfJ_2		COG3054	putative protein YtfJ
	sig_peptide	63				putative signal peptide
1617.00_04133	CDS	207				hypothetical protein
1617.00_04134	CDS	1344				hypothetical protein
1617.00_04135	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
1617.00_04136	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
	sig_peptide	66				putative signal peptide
1617.00_04137	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
1617.00_04138	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
1617.00_04139	CDS	252	chpS			Antitoxin ChpS
